Playoff Series 
Finals	Milwaukee Bucks over Phoenix Suns  (4-2)	Series Stats
Eastern Conference Finals	Milwaukee Bucks over Atlanta Hawks  (4-2)	Series Stats
Western Conference Finals	Phoenix Suns over Los Angeles Clippers  (4-2)	Series Stats
Eastern Conference Semifinals	Atlanta Hawks over Philadelphia 76ers  (4-3)	Series Stats
Eastern Conference Semifinals	Milwaukee Bucks over Brooklyn Nets  (4-3)	Series Stats
Western Conference Semifinals	Los Angeles Clippers over Utah Jazz  (4-2)	Series Stats
Western Conference Semifinals	Phoenix Suns over Denver Nuggets  (4-0)	Series Stats
Eastern Conference First Round	Atlanta Hawks over New York Knicks  (4-1)	Series Stats
Eastern Conference First Round	Brooklyn Nets over Boston Celtics  (4-1)	Series Stats
Eastern Conference First Round	Milwaukee Bucks over Miami Heat  (4-0)	Series Stats
Eastern Conference First Round	Philadelphia 76ers over Washington Wizards  (4-1)	Series Stats
Western Conference First Round	Denver Nuggets over Portland Trail Blazers  (4-2)	Series Stats
Western Conference First Round	Los Angeles Clippers over Dallas Mavericks  (4-3)	Series Stats
Western Conference First Round	Phoenix Suns over Los Angeles Lakers  (4-2)	Series Stats
Western Conference First Round	Utah Jazz over Memphis Grizzlies  (4-1)	Series Stats
