Playoff Series 
Finals	Los Angeles Lakers over Miami Heat  (4-2)	Series Stats
Eastern Conference Finals	Miami Heat over Boston Celtics  (4-2)	Series Stats
Western Conference Finals	Los Angeles Lakers over Denver Nuggets  (4-1)	Series Stats
Eastern Conference Semifinals	Boston Celtics over Toronto Raptors  (4-3)	Series Stats
Eastern Conference Semifinals	Miami Heat over Milwaukee Bucks  (4-1)	Series Stats
Western Conference Semifinals	Denver Nuggets over Los Angeles Clippers  (4-3)	Series Stats
Western Conference Semifinals	Los Angeles Lakers over Houston Rockets  (4-1)	Series Stats
Eastern Conference First Round	Boston Celtics over Philadelphia 76ers  (4-0)	Series Stats
Eastern Conference First Round	Miami Heat over Indiana Pacers  (4-0)	Series Stats
Eastern Conference First Round	Milwaukee Bucks over Orlando Magic  (4-1)	Series Stats
Eastern Conference First Round	Toronto Raptors over Brooklyn Nets  (4-0)	Series Stats
Western Conference First Round	Denver Nuggets over Utah Jazz  (4-3)	Series Stats
Western Conference First Round	Houston Rockets over Oklahoma City Thunder  (4-3)	Series Stats
Western Conference First Round	Los Angeles Clippers over Dallas Mavericks  (4-2)	Series Stats
Western Conference First Round	Los Angeles Lakers over Portland Trail Blazers  (4-1)	Series Stats
